"wwtp","target","h_week","MAE"
"Zurich","SARS-CoV-2",0,0.0698280399148433
"Zurich","SARS-CoV-2",-1,0.0807346239964156
"Zurich","SARS-CoV-2",-2,0.0839739237162542
"Zurich","SARS-CoV-2",1,0.0470663826135105
"Zurich","SARS-CoV-2",2,0.0218733277743335
"Zurich","SARS-CoV-2",3,0.00817105767174553
"Zurich","SARS-CoV-2",4,0.00565850922365192
"Zurich","SARS-CoV-2",5,0.00437642832885505
"Zurich","SARS-CoV-2",6,0.00255789147959431
"Zurich","SARS-CoV-2",7,0.00205417556724884
"Zurich","SARS-CoV-2",8,0.00223335541516526
"Zurich","SARS-CoV-2",9,0.00252467469879521
"Zurich","IAV",0,0.0507448184523809
"Zurich","IAV",-1,0.0696766060601226
"Zurich","IAV",-2,0.0863560519221312
"Zurich","IAV",1,0.0275817634555138
"Zurich","IAV",2,0.0111280493865167
"Zurich","IAV",3,0.00526987537754392
"Zurich","IAV",4,0.00369391760911145
"Zurich","IAV",5,0.00254688226268681
"Zurich","IAV",6,0.00197196604833097
"Zurich","IAV",7,0.00192374934314452
"Zurich","IAV",8,0.00200652102270179
"Zurich","IAV",9,0.00194642537313435
"Zurich","RSV",0,0.107060243158274
"Zurich","RSV",-1,0.132792438861985
"Zurich","RSV",-2,0.151831718523002
"Zurich","RSV",1,0.0737156072463304
"Zurich","RSV",2,0.0454740604549257
"Zurich","RSV",3,0.024012297310747
"Zurich","RSV",4,0.0123745142675822
"Zurich","RSV",5,0.0086100443300238
"Zurich","RSV",6,0.00785875586244431
"Zurich","RSV",7,0.00755753520931208
"Zurich","RSV",8,0.00657878225892488
"Zurich","RSV",9,0.00575159146341465
"Lugano","SARS-CoV-2",0,0.0762080819827931
"Lugano","SARS-CoV-2",-1,0.0884548576280784
"Lugano","SARS-CoV-2",-2,0.0913505204296421
"Lugano","SARS-CoV-2",1,0.0538422112945178
"Lugano","SARS-CoV-2",2,0.0265385972889156
"Lugano","SARS-CoV-2",3,0.00976383156057603
"Lugano","SARS-CoV-2",4,0.00709018233293317
"Lugano","SARS-CoV-2",5,0.00540980976390557
"Lugano","SARS-CoV-2",6,0.00377883987595038
"Lugano","SARS-CoV-2",7,0.0038984570839179
"Lugano","SARS-CoV-2",8,0.00370487262038227
"Lugano","SARS-CoV-2",9,0.00378731481481481
"Lugano","IAV",-1,0.0939529862349927
"Lugano","IAV",-2,0.115739415574744
"Lugano","IAV",0,0.0665442081593827
"Lugano","IAV",1,0.0342221651301916
"Lugano","IAV",2,0.0140640590829332
"Lugano","IAV",3,0.00883379453987816
"Lugano","IAV",4,0.00507929586048791
"Lugano","IAV",5,0.00340161634691123
"Lugano","IAV",6,0.00322150761904762
"Lugano","IAV",7,0.00280139608167626
"Lugano","IAV",8,0.00257527061683087
"Lugano","IAV",9,0.00258925757575757
"Lugano","RSV",0,0.129349707161929
"Lugano","RSV",-1,0.149315072150072
"Lugano","RSV",-2,0.155693025974026
"Lugano","RSV",1,0.0914665818742419
"Lugano","RSV",2,0.0539904239188758
"Lugano","RSV",3,0.02909144664813
"Lugano","RSV",4,0.0138814887082625
"Lugano","RSV",5,0.0083969715632865
"Lugano","RSV",7,0.00736538608019958
"Lugano","RSV",6,0.00777147333333334
"Lugano","RSV",8,0.00652145075331419
"Lugano","RSV",9,0.00576685820895524
"Chur","SARS-CoV-2",0,0.0399389983219796
"Chur","SARS-CoV-2",-1,0.0449772300708788
"Chur","SARS-CoV-2",-2,0.0499507734243745
"Chur","SARS-CoV-2",1,0.0298556239397582
"Chur","SARS-CoV-2",2,0.0199903147916249
"Chur","SARS-CoV-2",3,0.0117808863203767
"Chur","SARS-CoV-2",4,0.00572763934248314
"Chur","SARS-CoV-2",5,0.00374366606558473
"Chur","SARS-CoV-2",6,0.00299128728377747
"Chur","SARS-CoV-2",7,0.00270120685567355
"Chur","SARS-CoV-2",8,0.00253281002492363
"Chur","SARS-CoV-2",9,0.00249987500000001
"Chur","IAV",-1,0.0738007339126649
"Chur","IAV",-2,0.0815672673992674
"Chur","IAV",0,0.0546550709836079
"Chur","IAV",1,0.0307634865087801
"Chur","IAV",2,0.0142890969636319
"Chur","IAV",3,0.00780309292858602
"Chur","IAV",4,0.00620499540529434
"Chur","IAV",5,0.00512853321869556
"Chur","IAV",6,0.00374051869229881
"Chur","IAV",7,0.00277304384881367
"Chur","IAV",8,0.00275787509360888
"Chur","IAV",9,0.00276674468085106
"Chur","RSV",0,0.146185163413988
"Chur","RSV",-1,0.181812192930781
"Chur","RSV",-2,0.203755042709867
"Chur","RSV",1,0.0980280528966915
"Chur","RSV",2,0.05694879803021
"Chur","RSV",3,0.030764727197288
"Chur","RSV",4,0.0165555779025719
"Chur","RSV",5,0.00994543736536849
"Chur","RSV",6,0.0103904712433603
"Chur","RSV",7,0.00948118400230719
"Chur","RSV",8,0.00725070940226329
"Chur","RSV",9,0.00576118852459018
